crop,rainfall_mm,temperature_c,humidity_percent,soil_ph,fertilizer_kg_per_ha,yield_t_per_ha
wheat,384.3,11.79,69.7,7.58,4.0,1.817
maize,773.4,13.01,73.8,7.61,234.6,3.35
wheat,502.0,25.2,84.3,6.7,94.3,2.251
wheat,865.0,28.68,42.4,5.43,245.7,1.932
wheat,754.3,27.25,56.6,6.93,220.5,3.115
soybean,770.9,26.01,71.4,7.74,194.5,2.169
wheat,258.5,31.97,76.6,7.6,199.0,1.725
sugarcane,903.0,21.76,97.9,7.09,100.8,61.118
maize,665.3,30.37,79.3,7.64,298.6,2.713
maize,507.7,15.21,64.1,6.54,153.5,1.254
wheat,635.8,19.57,51.6,7.0,174.2,1.944
soybean,155.9,14.16,56.5,5.96,98.1,1.375
soybean,702.2,23.35,56.1,6.73,75.5,1.35
sugarcane,342.7,24.72,74.8,7.56,188.2,38.698
wheat,261.8,25.68,68.9,6.03,167.4,2.74
maize,219.4,25.37,45.1,5.81,86.9,3.533
soybean,878.2,19.43,58.5,6.58,34.9,1.447
wheat,442.7,23.86,78.2,6.32,48.4,2.315
soybean,983.4,16.02,70.3,7.02,245.7,1.298
soybean,466.0,33.18,73.5,6.14,100.9,1.182
maize,173.2,23.18,70.7,7.87,122.9,3.748
rice,320.9,22.07,89.4,5.47,266.0,2.15
sugarcane,909.0,34.53,68.5,7.5,60.2,13.935
sugarcane,561.0,17.55,59.2,5.89,91.8,33.096
maize,462.9,18.25,51.3,5.06,88.5,3.655
soybean,640.0,18.42,68.7,6.69,279.4,1.779
wheat,725.4,24.59,28.4,6.3,309.5,3.166
soybean,879.3,27.59,62.2,5.61,210.1,1.465
maize,962.1,29.44,61.9,5.15,212.7,4.43
sugarcane,510.1,40.43,44.5,6.49,103.6,36.198
soybean,268.5,11.5,51.1,7.28,305.8,0.686
sugarcane,496.6,28.65,77.1,6.97,171.4,55.979
wheat,665.1,21.66,68.5,6.55,218.2,2.763
sugarcane,359.1,21.48,66.5,6.88,141.6,73.205
sugarcane,360.7,21.28,69.6,6.48,128.6,24.724
rice,685.9,19.55,66.4,5.36,283.0,4.044
rice,587.8,35.11,83.6,5.36,193.2,2.023
rice,608.2,30.05,66.9,6.34,266.1,2.459
sugarcane,410.4,25.14,43.1,6.37,170.4,44.312
maize,542.4,33.11,89.5,7.18,82.1,3.08
sugarcane,368.9,15.92,70.6,7.11,103.3,43.207
maize,822.5,17.02,56.2,6.98,158.2,4.588
maize,858.8,11.93,46.2,6.28,99.9,3.664
rice,138.5,20.8,70.9,5.4,61.4,1.651
soybean,367.6,25.97,63.2,6.83,246.1,2.356
wheat,225.9,25.62,88.6,6.92,106.4,2.153
rice,437.5,25.9,59.8,4.59,161.1,2.489
rice,579.1,16.53,52.4,5.83,173.7,2.355
soybean,237.6,29.82,78.4,5.95,102.9,1.13
wheat,369.5,26.44,78.9,6.59,266.1,2.617
sugarcane,349.0,29.4,67.5,5.86,60.6,30.931
sugarcane,651.8,13.64,75.1,6.47,170.9,23.874
rice,617.3,26.87,64.4,6.33,169.7,4.07
wheat,419.6,17.87,68.5,6.37,145.7,2.238
rice,644.2,22.62,82.5,5.93,46.2,2.501
maize,463.3,28.21,74.4,5.99,219.7,5.263
rice,532.1,25.55,62.5,5.64,209.5,3.579
rice,1018.4,19.89,85.3,6.8,96.0,2.682
sugarcane,935.1,25.04,29.5,6.96,206.6,60.448
sugarcane,275.1,15.81,95.8,5.88,180.0,32.041
sugarcane,807.4,31.9,39.4,7.72,47.6,34.81
maize,802.8,23.77,55.6,6.25,81.7,2.135
sugarcane,312.9,31.71,64.4,7.72,241.1,38.979
wheat,804.7,21.84,62.8,5.99,174.8,1.964
soybean,984.5,21.86,80.1,4.88,104.9,1.19
wheat,319.4,20.41,49.1,6.82,81.3,1.292
wheat,370.6,30.26,68.9,6.7,108.8,1.556
sugarcane,854.4,20.74,56.3,6.53,114.4,42.906
soybean,667.9,28.87,69.4,5.99,82.3,1.456
soybean,737.9,22.71,64.0,6.47,10.7,1.434
soybean,685.1,13.14,66.4,6.09,241.2,1.29
maize,697.7,21.58,56.8,6.26,227.7,3.21
sugarcane,268.4,17.93,57.3,7.17,48.1,33.743
soybean,861.8,25.2,69.3,6.65,160.9,2.309
maize,892.4,17.86,79.2,6.99,77.8,2.879
rice,542.7,30.56,56.0,6.31,129.1,2.826
rice,589.1,24.45,52.0,6.23,122.4,3.501
maize,217.2,23.93,74.2,5.58,115.8,3.924
maize,728.6,28.94,64.5,6.2,310.2,3.681
sugarcane,743.0,30.78,77.5,3.84,114.8,30.562
sugarcane,584.5,24.88,51.4,6.03,85.3,59.796
rice,881.1,20.37,38.3,6.43,89.0,3.661
soybean,516.5,14.36,57.0,6.95,233.5,1.532
rice,741.2,20.88,53.5,6.29,17.8,2.575
soybean,345.1,21.3,63.8,6.78,89.0,2.062
soybean,594.1,25.64,55.4,4.76,265.7,2.467
sugarcane,556.4,22.93,76.1,6.45,169.5,51.876
wheat,656.3,29.13,60.7,5.16,165.4,1.903
wheat,507.6,21.32,67.3,5.53,320.6,2.506
maize,567.1,24.66,67.4,6.35,169.7,7.061
sugarcane,806.5,32.1,67.9,7.52,93.3,24.244
soybean,490.8,27.05,64.6,6.8,127.4,1.694
wheat,198.4,24.64,72.7,6.51,59.2,1.205
soybean,1037.4,21.39,53.1,6.48,250.5,2.175
wheat,945.4,21.2,86.0,5.93,196.0,2.052
wheat,276.9,19.9,61.5,6.06,240.0,2.089
wheat,772.4,21.75,45.3,6.84,247.0,1.862
sugarcane,474.3,29.53,67.8,5.39,116.9,47.977
rice,665.9,23.67,52.2,6.97,74.4,3.748
soybean,673.6,16.9,75.0,6.19,145.9,1.28
sugarcane,541.4,35.61,98.1,7.16,80.2,30.615
sugarcane,404.1,26.92,53.2,7.27,163.2,46.503
sugarcane,427.4,16.56,70.0,5.16,240.6,38.01
sugarcane,371.0,22.35,38.7,6.03,136.5,43.014
sugarcane,392.0,25.67,71.8,5.82,162.0,56.629
maize,583.2,35.23,51.7,5.05,142.5,3.679
soybean,421.1,18.35,55.6,5.67,214.2,1.22
sugarcane,770.5,30.86,48.5,8.45,96.6,33.576
soybean,971.8,33.4,76.0,6.99,0.0,1.398
maize,455.0,21.23,80.1,8.03,187.7,2.528
maize,659.9,23.33,65.4,7.16,229.0,3.514
soybean,724.9,18.78,52.0,5.91,185.7,1.696
wheat,718.0,23.78,88.8,6.19,98.8,2.592
rice,619.0,24.78,53.7,6.97,59.2,2.433
wheat,785.7,28.96,32.6,6.85,189.6,2.148
wheat,720.6,31.54,71.9,6.04,161.3,1.826
wheat,290.6,20.51,48.4,5.29,139.9,1.55
sugarcane,817.3,13.2,79.8,9.0,295.8,37.245
maize,821.8,24.87,59.3,6.39,74.3,3.144
wheat,409.2,26.76,74.1,6.24,292.0,2.602
maize,609.5,26.5,86.0,6.59,152.5,3.608
soybean,770.8,23.04,46.9,6.31,3.2,0.651
rice,547.7,25.75,56.5,6.6,135.7,4.008
soybean,868.2,34.09,63.9,7.53,226.8,1.22
soybean,1191.0,27.29,88.1,6.4,120.8,1.946
sugarcane,403.5,22.76,55.1,5.57,32.0,21.876
rice,254.7,22.0,56.1,6.37,136.8,2.37
soybean,676.0,23.98,72.2,6.13,81.4,1.993
soybean,780.4,34.82,56.3,7.64,189.3,2.144
rice,542.3,23.9,67.3,7.44,211.9,2.522
rice,963.3,24.88,41.7,6.59,65.5,2.866
soybean,265.3,22.11,98.2,5.48,93.5,1.493
rice,773.2,31.59,44.8,5.52,210.5,2.445
soybean,448.5,36.76,60.2,6.51,81.3,1.436
soybean,1029.8,27.7,64.5,6.77,63.4,1.398
sugarcane,1098.1,25.5,93.7,6.2,55.7,43.899
wheat,408.3,25.22,45.1,6.12,178.2,2.239
soybean,462.6,10.69,94.8,6.03,174.7,1.525
maize,814.9,29.47,76.4,6.48,95.3,3.229
wheat,503.2,25.8,71.3,4.59,150.4,2.028
wheat,588.6,27.57,50.2,5.62,272.2,3.115
wheat,606.3,20.73,73.6,6.0,72.1,1.601
sugarcane,120.1,22.69,54.1,7.47,0.0,30.619
soybean,596.5,22.53,84.0,5.85,186.4,1.278
sugarcane,427.6,31.13,50.4,6.64,141.2,30.424
soybean,476.7,22.73,63.3,6.68,93.2,1.823
sugarcane,960.9,37.5,56.7,7.54,202.2,23.242
sugarcane,285.9,27.59,50.2,7.51,217.1,39.35
maize,803.3,17.35,76.1,6.45,0.0,2.87
sugarcane,530.3,24.23,73.0,6.12,97.8,42.646
rice,530.1,21.09,83.1,5.97,335.4,3.9
maize,797.6,11.83,38.3,6.31,196.7,2.782
sugarcane,685.0,34.6,81.0,6.15,204.1,39.848
wheat,742.7,29.22,100.0,6.94,243.8,2.965
rice,842.0,28.2,58.2,6.84,151.4,3.774
rice,517.2,25.99,93.4,6.97,213.7,4.336
rice,446.9,16.71,61.1,7.51,207.4,3.03
maize,328.7,22.1,44.4,7.99,193.1,3.08
sugarcane,393.6,30.05,60.4,6.6,124.2,53.812
sugarcane,1337.3,18.69,80.7,7.38,163.8,46.485
wheat,911.2,9.81,52.4,6.22,102.9,1.346
wheat,262.2,23.64,56.0,7.45,151.0,2.292
rice,269.4,24.15,73.9,7.35,56.5,3.163
wheat,720.5,25.81,65.0,7.31,86.8,2.651
maize,736.8,29.37,73.8,6.58,127.4,5.35
sugarcane,737.2,28.83,68.6,5.97,74.5,53.533
rice,536.3,26.55,72.2,5.38,109.6,3.415
wheat,568.6,32.17,58.5,6.47,136.9,1.535
maize,682.0,15.89,68.5,7.73,182.2,2.883
maize,621.5,28.03,51.1,6.25,225.9,4.569
wheat,45.2,28.76,84.3,7.13,112.9,1.913
sugarcane,542.6,17.56,55.5,7.18,256.8,46.668
wheat,387.1,15.98,81.9,6.27,225.1,1.854
rice,643.8,20.52,61.5,7.55,190.3,3.313
wheat,1346.3,21.03,68.0,4.17,162.3,2.337
maize,691.9,29.52,57.6,5.52,175.5,3.364
wheat,521.6,21.31,49.8,5.77,245.0,3.259
sugarcane,830.5,19.86,38.8,5.84,247.9,29.154
soybean,720.7,21.33,49.2,6.77,256.8,2.472
wheat,705.0,31.71,60.1,6.73,153.3,2.125
sugarcane,751.7,25.08,68.2,6.82,194.4,70.427
sugarcane,1114.1,23.92,80.2,6.98,257.5,66.496
maize,317.3,24.34,58.3,5.74,100.1,3.847
sugarcane,718.4,32.75,51.8,5.53,124.5,42.545
sugarcane,368.4,20.5,43.4,6.82,151.3,49.263
sugarcane,738.9,32.89,72.2,6.0,222.0,38.059
sugarcane,370.3,26.26,85.7,5.24,223.2,55.565
rice,495.7,24.04,84.0,7.28,131.5,2.52
rice,526.2,40.01,75.6,7.62,29.3,2.006
maize,844.0,18.67,74.6,7.75,169.7,4.165
wheat,829.6,22.88,90.5,6.65,76.5,2.669
sugarcane,288.6,17.61,70.0,7.0,30.8,36.239
wheat,613.7,30.71,74.7,7.6,48.9,1.614
wheat,422.6,35.14,60.2,5.99,176.1,2.106
maize,285.4,35.02,44.6,7.39,258.9,2.254
sugarcane,545.7,32.34,54.7,6.72,153.1,55.299
sugarcane,522.9,23.81,64.9,7.23,166.9,53.376
soybean,1206.7,22.81,65.9,6.65,244.6,1.922
wheat,708.2,14.97,93.9,7.54,26.4,1.012
wheat,255.6,37.22,66.2,6.68,191.6,1.594
rice,458.8,27.81,82.7,5.31,149.1,3.063
soybean,855.3,22.05,58.5,7.66,195.3,2.617
rice,1122.1,32.97,60.3,5.74,111.3,1.944
rice,203.5,19.16,45.1,7.5,84.6,2.295
rice,130.0,27.44,53.9,6.43,161.2,1.903
maize,1067.7,23.96,72.9,7.44,281.9,4.917
maize,697.4,28.83,65.1,7.41,218.9,5.73
rice,382.9,24.62,79.1,6.84,109.4,2.342
soybean,733.7,16.29,67.7,6.91,42.7,1.414
wheat,0.0,25.45,59.7,6.84,15.4,1.677
soybean,600.8,31.29,97.2,4.89,255.3,1.416
sugarcane,682.0,24.82,63.6,6.59,73.6,52.441
maize,831.1,29.65,82.4,5.61,124.0,2.854
wheat,346.5,18.73,59.0,6.64,255.7,2.848
wheat,621.4,24.84,75.6,5.59,20.9,2.616
sugarcane,368.6,21.25,78.9,5.55,269.4,46.695
sugarcane,663.8,29.48,68.1,7.78,129.7,66.426
rice,376.2,25.19,29.7,7.36,58.1,2.246
maize,498.0,29.14,65.3,6.5,130.2,4.214
maize,351.0,31.53,83.5,6.65,92.2,4.094
soybean,762.8,29.15,72.9,6.3,185.3,1.771
rice,814.6,26.64,71.7,6.96,98.1,2.542
rice,541.3,19.01,39.2,5.96,0.0,1.033
rice,609.6,24.98,54.2,7.29,132.4,4.651
rice,237.9,21.8,71.2,6.3,41.5,2.016
maize,525.1,22.94,71.2,6.16,166.3,4.274
maize,587.4,22.75,83.2,6.52,55.0,2.548
rice,1255.2,19.12,62.8,6.03,111.0,3.563
soybean,322.0,13.26,71.1,6.76,164.6,0.911
wheat,966.0,20.99,65.2,6.07,133.0,2.374
wheat,849.2,26.16,50.2,6.87,170.0,2.985
soybean,670.2,16.91,31.2,7.47,204.4,1.001
rice,1039.7,25.09,71.5,5.92,57.4,2.918
maize,693.0,36.4,67.6,6.4,144.8,3.81
wheat,697.3,31.14,55.7,6.87,0.0,1.693
sugarcane,586.7,34.86,40.7,6.15,169.8,35.525
sugarcane,905.9,27.35,74.4,6.87,125.9,55.069
soybean,874.1,32.01,61.0,6.94,71.3,1.264
rice,443.6,20.66,73.4,7.37,175.3,4.223
wheat,270.2,21.13,93.0,6.02,243.8,1.731
rice,549.3,8.57,32.9,5.75,111.9,2.138
wheat,400.0,32.12,54.5,6.25,74.4,1.825
soybean,584.1,34.24,61.9,5.73,163.2,1.653
soybean,909.4,21.68,86.8,6.95,43.2,1.781
sugarcane,485.7,23.48,40.5,5.57,97.2,42.67
rice,589.3,20.48,94.0,8.37,247.8,2.886
sugarcane,614.5,27.3,67.0,7.54,155.0,54.614
rice,812.1,31.75,63.6,6.51,0.0,0.637
sugarcane,38.3,14.54,62.0,7.19,6.2,15.732
maize,448.3,27.46,58.5,5.19,163.0,3.432
maize,652.8,23.34,80.7,8.52,219.0,3.305
maize,900.0,25.68,49.0,6.03,20.6,2.074
maize,477.0,27.75,70.2,6.4,186.0,4.911
wheat,130.9,23.87,59.2,5.02,256.4,1.917
maize,754.9,24.38,53.6,6.89,301.0,5.095
soybean,441.2,23.72,100.0,5.61,176.5,1.255
soybean,302.6,30.82,71.3,6.58,190.5,1.485
wheat,443.9,27.51,74.2,6.06,0.0,0.318
maize,553.9,26.32,82.1,5.64,318.0,4.507
maize,448.8,17.37,43.7,5.86,104.0,3.013
maize,48.6,22.73,91.3,6.68,75.3,2.834
sugarcane,824.3,30.39,27.4,5.47,129.6,26.252
rice,918.7,25.23,53.5,5.9,270.9,4.37
sugarcane,762.9,28.96,58.1,7.03,326.6,47.486
rice,315.6,35.6,73.7,8.58,160.0,1.608
maize,549.6,31.23,68.3,6.88,229.8,4.315
maize,598.4,25.56,62.5,5.77,153.5,6.062
sugarcane,749.7,21.93,64.8,6.21,67.0,45.157
sugarcane,767.1,9.68,50.3,6.53,268.1,23.288
rice,416.5,23.99,42.5,6.22,100.2,3.042
soybean,620.5,23.04,75.9,7.22,272.8,2.41
rice,714.3,27.34,75.4,6.67,253.9,4.318
sugarcane,964.0,24.08,88.8,7.23,199.1,81.018
sugarcane,776.1,23.08,53.1,6.25,296.3,55.222
wheat,797.3,14.32,75.4,7.56,328.6,1.845
sugarcane,621.0,19.36,60.7,6.37,136.0,58.474
wheat,952.6,27.86,82.9,5.72,85.3,2.937
soybean,702.4,35.3,80.3,8.24,0.9,0.457
rice,384.7,24.41,68.2,5.04,329.6,3.365
rice,950.8,26.97,59.9,5.91,114.8,4.434
wheat,774.5,30.71,79.4,6.0,240.8,3.683
rice,489.2,20.13,74.7,8.51,90.7,2.832
sugarcane,480.1,27.2,54.7,7.95,273.1,46.185
maize,674.1,20.56,45.1,7.7,94.0,2.637
wheat,715.8,30.19,60.7,6.24,54.7,2.945
rice,649.3,25.91,87.7,8.44,133.3,3.238
wheat,677.8,26.79,82.2,6.79,107.5,2.051
wheat,1025.0,20.3,48.3,7.28,197.7,2.402
maize,867.9,29.24,47.5,6.64,145.9,4.306
sugarcane,647.7,37.51,84.1,6.46,200.2,36.829
wheat,835.3,18.95,48.0,6.3,126.7,1.732
rice,341.9,22.96,72.6,6.33,96.8,2.518
soybean,699.5,26.39,55.8,6.99,103.3,1.285
wheat,1052.3,29.72,89.3,6.79,313.6,3.093
wheat,545.5,21.64,53.4,6.47,168.0,2.354
maize,388.1,8.0,82.2,7.71,0.0,2.85
sugarcane,437.0,33.16,67.8,4.13,108.4,45.089
soybean,327.6,29.56,68.8,6.91,157.7,1.656
rice,403.8,14.54,35.4,7.07,297.6,2.151
soybean,507.4,21.35,32.0,7.42,232.3,1.734
rice,248.6,34.41,61.7,6.45,76.3,2.193
sugarcane,603.9,33.69,68.7,6.67,343.5,50.9
rice,825.6,30.63,48.1,7.29,147.5,3.118
maize,373.1,23.94,48.7,7.69,249.7,3.607
maize,979.8,25.5,73.4,6.26,57.6,4.568
maize,727.7,24.21,73.4,6.71,0.0,3.423
maize,857.6,31.77,62.9,7.84,37.3,1.842
soybean,435.5,19.74,76.7,4.8,0.0,1.606
sugarcane,813.6,20.17,47.4,5.95,319.0,54.945
rice,327.0,31.06,59.7,7.67,167.2,2.759
rice,822.6,24.73,89.7,7.37,76.0,3.554
maize,643.0,33.27,66.0,6.92,186.2,2.858
maize,738.3,20.97,66.9,6.14,165.1,5.079
wheat,306.1,24.67,99.6,5.79,199.7,2.029
sugarcane,376.2,19.47,44.0,6.03,246.8,29.048
soybean,749.3,25.04,76.9,7.74,126.8,1.497
rice,362.9,16.13,90.0,6.0,79.6,2.532
wheat,715.8,22.07,60.1,6.58,216.2,2.462
wheat,258.2,16.38,77.9,5.9,214.2,2.461
rice,812.0,29.16,50.3,7.17,158.1,3.983
soybean,291.9,29.3,54.7,6.07,324.2,2.1
wheat,738.1,14.62,70.8,6.42,115.0,1.753
wheat,756.4,33.0,77.0,5.15,78.0,1.857
sugarcane,425.8,39.98,81.8,5.21,183.4,19.666
soybean,745.5,25.28,88.5,6.51,96.0,2.086
wheat,665.1,21.15,64.0,5.44,189.6,2.718
soybean,465.3,41.95,82.9,8.18,83.4,1.29
rice,347.9,17.09,59.9,4.85,118.0,3.287
maize,109.3,25.12,78.5,5.86,301.3,2.79
wheat,687.4,26.08,68.1,6.51,117.6,2.618
sugarcane,208.8,33.07,71.7,6.21,86.1,36.097
rice,623.8,27.16,71.4,5.62,243.7,3.196
soybean,534.1,22.01,40.9,5.73,65.9,1.391
rice,769.8,19.29,48.1,5.71,94.6,2.988
wheat,524.5,22.95,66.5,6.27,196.1,2.645
soybean,517.6,18.96,39.7,8.06,225.1,1.871
maize,783.0,25.29,77.5,6.56,247.6,4.049
rice,683.8,21.61,78.1,7.45,90.2,3.592
wheat,679.0,16.04,69.9,6.91,197.7,2.188
sugarcane,717.3,32.53,48.2,7.39,112.7,32.305
soybean,216.1,22.01,85.7,4.26,101.5,0.927
rice,789.2,17.39,95.6,6.26,246.3,1.429
rice,753.1,23.99,67.2,7.55,106.0,2.872
maize,345.8,25.41,72.7,6.04,172.3,4.894
maize,539.0,14.52,68.0,7.91,162.4,2.725
sugarcane,590.2,26.99,73.0,7.69,64.3,51.794
sugarcane,566.4,18.72,63.2,6.12,227.3,39.93
wheat,683.5,35.27,64.5,6.1,194.8,2.085
wheat,957.8,28.14,78.6,5.69,0.0,1.177
sugarcane,870.4,22.6,100.0,6.0,172.2,41.585
sugarcane,271.9,20.53,44.0,5.51,88.2,35.534
soybean,755.5,24.37,63.4,6.84,237.8,2.127
maize,932.2,28.68,47.3,5.34,34.4,1.863
wheat,696.7,24.85,88.9,6.98,121.5,2.401
maize,872.7,23.7,56.2,7.0,179.0,4.987
maize,1103.1,25.35,43.4,5.17,154.3,5.234
sugarcane,855.9,21.38,74.6,7.74,211.0,59.924
soybean,662.3,22.94,91.2,6.91,28.5,1.718
rice,861.3,12.49,75.0,7.1,282.2,2.598
soybean,636.2,30.84,68.1,5.89,192.0,1.801
soybean,606.0,26.79,71.1,7.0,258.8,1.756
maize,512.1,20.36,86.2,7.4,219.9,3.881
soybean,990.9,36.39,51.9,6.42,149.1,1.414
wheat,395.4,25.52,63.3,8.1,47.3,2.5
maize,983.1,18.78,58.2,6.54,104.9,4.071
wheat,725.0,30.14,47.5,7.41,277.2,2.961
rice,250.2,27.39,60.1,6.73,260.8,2.524
maize,691.9,27.37,81.6,6.97,100.4,3.684
rice,75.0,22.45,73.5,5.16,0.0,2.258
maize,756.4,27.7,74.7,6.8,133.0,5.205
sugarcane,821.3,23.43,67.2,5.91,127.0,53.443
soybean,451.9,28.34,72.8,5.82,130.0,1.654
sugarcane,630.9,13.57,53.0,7.9,192.3,38.616
rice,1088.5,22.4,60.4,6.33,220.1,3.474
soybean,473.6,35.33,67.9,5.7,229.2,1.79
maize,335.3,20.4,69.2,6.21,185.7,3.041
soybean,970.4,21.38,69.8,5.46,5.9,0.519
wheat,1090.6,22.31,62.9,7.65,122.7,2.573
soybean,600.9,17.71,59.3,5.94,334.3,2.148
wheat,852.9,11.75,100.0,6.92,179.9,1.825
soybean,935.4,23.62,78.6,7.58,179.4,2.269
wheat,414.4,25.82,71.2,6.1,178.8,2.623
rice,478.7,24.68,61.5,6.93,183.2,3.569
sugarcane,907.7,24.13,58.2,5.68,0.0,16.096
maize,1021.3,25.26,63.0,8.46,130.8,2.188
soybean,740.7,31.14,69.4,7.25,147.0,1.67
sugarcane,380.0,23.86,36.8,6.35,252.5,61.109
maize,1096.8,21.56,41.5,5.88,153.8,4.466
maize,467.3,23.31,55.4,6.41,18.3,3.309
wheat,516.2,28.48,68.1,6.23,184.4,3.291
rice,685.6,33.47,61.4,8.06,85.7,2.483
rice,988.5,21.23,87.2,5.52,52.7,2.524
sugarcane,813.5,25.59,42.8,6.61,83.3,39.519
rice,703.7,27.03,53.7,6.49,193.4,5.007
soybean,715.8,19.04,87.8,6.41,250.7,1.849
rice,610.9,25.12,67.0,6.41,188.6,3.384
sugarcane,739.5,16.21,78.3,6.41,200.6,27.501
rice,0.0,14.39,95.8,7.2,187.8,2.752
soybean,525.8,27.2,54.6,6.99,158.1,1.531
wheat,660.3,22.7,63.5,6.84,205.8,3.754
sugarcane,312.2,26.21,60.9,4.07,0.0,5.192
wheat,696.6,24.89,35.7,6.74,158.9,3.231
wheat,548.9,19.14,60.3,5.18,66.4,2.052
wheat,1038.9,24.73,78.2,7.02,243.0,3.216
maize,993.3,17.6,73.1,7.68,138.2,3.162
maize,483.5,33.35,74.3,5.76,152.5,4.466
wheat,562.3,16.86,59.4,6.29,29.6,1.943
sugarcane,581.5,23.83,55.2,6.02,231.3,49.35
soybean,487.1,18.75,84.0,7.49,200.2,0.926
soybean,648.8,28.42,57.5,6.58,194.6,2.032
rice,410.4,23.01,69.4,7.88,85.0,2.739
sugarcane,317.3,21.89,67.5,6.83,88.1,27.58
maize,755.7,30.12,86.9,6.69,167.9,3.803
wheat,757.4,25.18,79.6,6.55,94.4,2.217
rice,398.9,28.1,45.6,7.15,184.8,3.085
soybean,823.8,19.11,47.2,5.11,0.0,1.34
maize,442.1,16.57,73.7,6.57,111.0,4.078
maize,663.3,25.64,64.0,6.44,293.7,6.095
wheat,805.1,23.09,58.2,7.08,185.2,2.572
soybean,591.6,28.76,80.2,6.35,163.3,1.917
sugarcane,713.7,24.52,67.8,5.67,308.8,63.705
maize,470.9,26.23,65.8,6.51,0.0,1.501
wheat,550.9,15.26,76.7,5.63,84.8,1.834
sugarcane,548.5,36.33,59.4,4.96,117.9,48.561
soybean,413.4,24.01,88.5,7.08,218.7,1.834
maize,555.8,29.19,53.2,6.96,220.1,2.963
sugarcane,212.8,19.98,74.9,6.87,80.7,36.034
sugarcane,477.2,26.85,86.5,7.54,229.8,38.517
sugarcane,528.8,17.18,44.3,5.97,117.7,44.145
maize,536.0,27.71,59.8,5.36,246.9,4.756
maize,539.6,22.86,82.1,6.44,67.4,3.383
rice,584.6,25.18,82.4,6.22,140.1,3.237
soybean,719.9,29.19,62.4,5.83,110.8,1.644
wheat,818.6,17.6,54.0,6.44,234.5,2.158
sugarcane,437.6,20.89,79.3,6.01,108.2,35.321
rice,299.2,27.74,82.8,5.03,146.6,1.847
wheat,339.5,37.59,47.5,6.15,190.5,2.078
rice,478.2,24.17,46.9,5.59,193.6,3.132
maize,512.0,28.55,68.4,6.69,221.0,4.533
sugarcane,407.5,24.36,74.4,5.98,166.9,53.001
wheat,276.0,36.65,60.5,7.39,116.5,1.713
wheat,486.0,14.52,75.2,7.78,122.0,1.101
wheat,645.4,25.57,54.3,7.04,152.1,1.956
wheat,748.8,15.25,33.3,5.26,170.0,1.427
wheat,460.6,9.96,58.6,7.7,138.2,1.699
rice,496.8,26.78,65.9,7.76,151.5,2.828
sugarcane,368.3,25.84,60.9,6.52,28.6,32.655
maize,592.1,23.29,47.6,7.56,203.4,5.894
maize,387.9,24.36,37.8,6.06,164.5,2.508
maize,743.3,43.59,57.3,5.01,230.1,1.94
maize,153.5,23.45,78.5,5.89,150.0,4.667
rice,510.1,28.06,83.8,7.88,10.9,2.087
soybean,675.3,21.1,82.8,5.31,121.3,1.375
sugarcane,646.0,26.77,52.8,6.5,134.0,62.562
wheat,1273.3,23.57,47.7,6.53,209.4,3.095
soybean,687.5,22.54,72.4,6.09,0.0,0.985
maize,349.0,35.91,74.5,6.15,153.3,2.854
soybean,576.1,32.06,71.0,6.56,191.1,1.325
sugarcane,155.9,25.82,34.8,6.05,97.1,27.06
wheat,579.9,11.17,52.0,5.36,156.0,1.491
wheat,391.7,22.83,64.6,6.67,99.8,1.822
sugarcane,828.8,41.22,72.3,7.36,91.6,30.337
sugarcane,462.6,23.62,76.5,7.2,117.3,50.196
maize,570.8,31.62,67.2,5.85,93.1,3.88
wheat,441.1,33.65,70.0,5.5,204.7,2.329
soybean,1034.7,26.31,66.3,6.27,91.2,1.794
rice,519.7,19.95,75.3,7.75,77.8,2.847
rice,1058.1,10.39,69.7,7.02,291.4,2.368
sugarcane,803.5,29.1,66.0,7.06,226.9,58.446
maize,720.5,20.11,61.0,7.21,1.1,2.159
rice,692.2,26.06,66.2,6.84,88.8,2.704
wheat,698.4,17.5,72.3,6.6,169.4,2.277
sugarcane,118.1,23.41,69.0,7.03,175.9,23.11
soybean,530.3,25.2,70.7,6.06,30.8,1.284
sugarcane,811.3,26.61,85.1,5.37,242.7,31.739
soybean,587.8,18.31,69.0,7.08,216.0,1.159
sugarcane,248.7,32.18,55.3,7.49,188.6,28.209
sugarcane,586.9,21.42,78.3,5.61,258.5,61.239
sugarcane,1026.0,14.95,44.5,7.16,186.2,41.318
soybean,911.7,24.35,48.8,7.84,185.9,1.771
soybean,584.5,25.21,70.0,6.5,274.6,2.504
sugarcane,837.9,25.96,72.7,5.85,238.1,69.836
rice,508.4,33.17,46.3,6.6,82.7,2.221
maize,174.0,23.58,59.3,6.06,200.7,2.494
maize,368.9,24.28,55.9,6.01,96.9,3.534
maize,990.7,18.38,57.7,6.85,190.3,3.728
soybean,531.5,29.92,79.2,5.22,188.1,1.186
soybean,539.2,26.11,75.6,5.34,39.3,1.498
rice,525.0,22.48,64.7,6.52,140.3,3.614
maize,1076.0,13.57,56.8,6.48,171.2,3.133
maize,1006.5,33.67,44.8,6.77,115.1,3.244
sugarcane,1154.7,17.63,86.3,8.0,175.2,45.257
soybean,560.2,21.45,73.9,6.58,214.5,1.869
maize,673.9,27.15,54.4,6.98,147.6,4.548
rice,220.8,17.82,75.8,5.72,168.0,2.129
rice,969.2,16.04,63.9,7.11,260.7,2.293
